mdate,key,author,editor,title,pages,year,volume,journal,number,url,ee,address,booktitle,month,cdrom,publisher,note,crossref,isbn,series,school,chapter,cite
2011-01-11,journalsactaWalzJ95,Janet A. Walz|Gregory F. Johnson,,Inductive Attribute Grammars: A Basis for Incremental Program Execution.,117-144,1995,32,Acta Inf.,2,db/journals/acta/acta32.html#WalzJ95,http://dx.doi.org/10.1007/BF01177743,,,,,,,,,,,,journalsactaBozapalidisFR12
2011-01-11,journalsactaTurski71,Wladyslaw M. Turski,,A Model for Data Structures and Its Applications. I.,26-34,1971,1,Acta Inf.,,db/journals/acta/acta1.html#Turski71,http://dx.doi.org/10.1007/BF00264290,,,,,,,,,,,,journalsactaMilner96
2011-01-11,journalsactaCoffmanR71,Edward G. Coffman Jr.|Brian Randell,,Performance Predictions for Extended Paged Memories.,1-13,1971,1,Acta Inf.,,db/journals/acta/acta1.html#CoffmanR71,http://dx.doi.org/10.1007/BF00264288,,,,,,,,,,,,journalsactaBlum82
2014-07-08,journalsactaFahrenbergL14,Uli Fahrenberg|Axel Legay,,General quantitative specification theories with modal transition systems.,261-295,2014,51,Acta Inf.,5,db/journals/acta/acta51.html#FahrenbergL14,http://dx.doi.org/10.1007/s00236-014-0196-8,,,,,,,,,,,,journalsactaBlum82
2008-11-18,journalsactaMedunaT08,Alexander Meduna|Techet,,-limited way.,593-608,2008,45,Acta Inf.,7-8,db/journals/acta/acta45.html#MedunaT08,http://dx.doi.org/10.1007/s00236-008-0081-4,,,,,,,,,,,,journalsactaBozapalidisFR12
2003-11-25,journalsactaIwamotoTMI02,Chuzo Iwamoto|Katsuyuki Tateishi|Kenichi Morita|Katsunobu Imai,,A quadratic speedup theorem for iterative arrays.,847-858,2002,38,Acta Inf.,11/12,db/journals/acta/acta38.html#IwamotoTMI02,http://link.springer.de/link/service/journals/00236/bibs/2038011/20380847.htm,,,,,,,,,,,,journalsactaKhomenkoKKV06
2011-01-11,journalsactaGries79,David Gries,,The Schorr-Waite Graph Marking Algorithm.,223-232,1979,11,Acta Inf.,,db/journals/acta/acta11.html#Gries79,http://dx.doi.org/10.1007/BF00289068,,,,,,,,,,,,journalsactaSaxena96
2011-08-18,journalsactaQiuLZMG11,Daowen Qiu|Lvzhou Li|Xiangfu Zou|Paulo Mateus|Jozef Gruska,,Multi-letter quantum finite automata: decidability of the equivalence and minimization of states.,271-290,2011,48,Acta Inf.,5-6,db/journals/acta/acta48.html#QiuLZMG11,http://dx.doi.org/10.1007/s00236-011-0139-6,,,,,,,,,,,,journalsactaSaxena96
2011-01-11,journalsactaKungP83,H. T. Kung|Christos H. Papadimitriou,,An Optimality Theory of Concurrency Control for Databases.,1-11,1983,19,Acta Inf.,,db/journals/acta/acta19.html#KungP83,http://dx.doi.org/10.1007/BF00263925,,,,,,,,,,,,journalsactaSaxena96
2011-01-11,journalsactaTsudaS83,Takao Tsuda|Takashi Sato,,Transposition of Large Tabular Data Structures with Applications to Physical Database Organization.,13-33,1983,19,Acta Inf.,,db/journals/acta/acta19.html#TsudaS83,http://dx.doi.org/10.1007/BF00263926,,,,,,,,,,,,journalsactaHonkala11
